run_id,timestamp,trip_id,bus_id,distance_km,event,aux_km,headway_sec
4,09:19:57,106,INT-506,0,DEPARTURE,,
4,09:23:50,105,INT-505,11.35,REPAIRED,15,
4,09:47:39,105,INT-505,20.075,CHECKPOINT,,2692.44
4,09:52:55,104,INT-504,38,ARRIVAL,,2343.42
4,10:22:50,106,INT-506,20.075,CHECKPOINT,,2110.74
4,10:37:48,105,INT-505,38,ARRIVAL,,2692.44
4,11:12:58,106,INT-506,38,ARRIVAL,,2110.74
5,05:59:58,101,INT-501,0,DEPARTURE,,
5,06:39:51,102,INT-502,0,DEPARTURE,,
5,06:53:59,101,INT-501,17.187,BREAKDOWN,15,
5,06:55:38,101,INT-501,17.187,REPAIRED,15,
5,07:04:30,101,INT-501,20.075,CHECKPOINT,,
5,07:19:44,103,INT-503,0,DEPARTURE,,
5,07:32:29,103,INT-503,4.601,BREAKDOWN,0,
5,07:39:58,103,INT-503,4.601,REPAIRED,0,
5,07:42:44,102,INT-502,20.075,CHECKPOINT,,2293.56
5,07:54:39,101,INT-501,38,ARRIVAL,,
5,07:59:54,104,INT-504,0,DEPARTURE,,
5,08:14:19,103,INT-503,14.155,BREAKDOWN,15,
5,08:14:19,103,INT-503,14.155,REPAIRED,15,
5,08:30:06,103,INT-503,20.075,CHECKPOINT,,2842.02
5,08:32:52,102,INT-502,38,ARRIVAL,,2293.56
5,08:39:48,105,INT-505,0,DEPARTURE,,
5,09:02:30,105,INT-505,6.971,BREAKDOWN,0,
5,09:02:47,104,INT-504,20.075,CHECKPOINT,,1961.16
5,09:19:57,106,INT-506,0,DEPARTURE,,
5,09:19:57,105,INT-505,6.971,REPAIRED,0,
5,09:20:14,103,INT-503,38,ARRIVAL,,2842.02
5,09:32:09,104,INT-504,32.044,BREAKDOWN,30,
5,09:32:09,104,INT-504,32.044,REPAIRED,30,
5,09:52:55,104,INT-504,38,ARRIVAL,,1961.16
5,10:00:07,105,INT-505,20.075,CHECKPOINT,,3440.34
5,10:22:50,106,INT-506,20.075,CHECKPOINT,,1362.84
5,10:50:16,105,INT-505,38,ARRIVAL,,3440.34
5,10:51:05,106,INT-506,31.875,BREAKDOWN,30,
5,10:51:05,106,INT-506,31.875,REPAIRED,30,
5,11:12:58,106,INT-506,38,ARRIVAL,,1362.84
6,05:59:58,101,INT-501,0,DEPARTURE,,
6,06:39:51,102,INT-502,0,DEPARTURE,,
6,07:02:51,101,INT-501,20.075,CHECKPOINT,,
6,07:19:44,103,INT-503,0,DEPARTURE,,
6,07:42:44,102,INT-502,20.075,CHECKPOINT,,2393.28
6,07:52:59,101,INT-501,38,ARRIVAL,,
6,07:59:54,104,INT-504,0,DEPARTURE,,
6,08:22:37,103,INT-503,20.075,CHECKPOINT,,2393.28
6,08:32:52,102,INT-502,38,ARRIVAL,,2393.28
6,08:39:48,105,INT-505,0,DEPARTURE,,
6,09:02:47,104,INT-504,20.075,CHECKPOINT,,2409.9
6,09:12:45,103,INT-503,38,ARRIVAL,,2393.28
6,09:19:57,106,INT-506,0,DEPARTURE,,
6,09:42:40,105,INT-505,20.075,CHECKPOINT,,2393.28
6,09:52:55,104,INT-504,38,ARRIVAL,,2409.9
6,10:22:50,106,INT-506,20.075,CHECKPOINT,,2409.9
6,10:32:49,105,INT-505,38,ARRIVAL,,2393.28
6,11:12:58,106,INT-506,38,ARRIVAL,,2409.9
7,05:59:58,101,INT-501,0,DEPARTURE,,
7,06:31:33,101,INT-501,9.051,BREAKDOWN,15,
7,06:39:51,102,INT-502,0,DEPARTURE,,
7,06:44:34,101,INT-501,9.051,REPAIRED,15,
7,07:15:52,101,INT-501,20.075,CHECKPOINT,,
7,07:19:44,103,INT-503,0,DEPARTURE,,
7,07:40:31,103,INT-503,6.394,BREAKDOWN,0,
7,07:42:44,102,INT-502,20.075,CHECKPOINT,,1612.14
7,07:55:28,103,INT-503,6.394,REPAIRED,0,
7,07:59:54,104,INT-504,0,DEPARTURE,,
7,08:06:00,101,INT-501,38,ARRIVAL,,
7,08:29:49,102,INT-502,37.247,BREAKDOWN,30,
7,08:37:35,103,INT-503,20.075,CHECKPOINT,,3290.76
7,08:39:48,105,INT-505,0,DEPARTURE,,
7,08:50:19,102,INT-502,37.247,REPAIRED,30,
7,08:53:22,102,INT-502,38,ARRIVAL,,2842.02
7,09:02:47,104,INT-504,20.075,CHECKPOINT,,1512.42
7,09:19:57,106,INT-506,0,DEPARTURE,,
7,09:27:43,103,INT-503,38,ARRIVAL,,2060.88
7,09:42:40,105,INT-505,20.075,CHECKPOINT,,2393.28
7,09:52:55,104,INT-504,38,ARRIVAL,,1512.42
7,10:07:19,106,INT-506,14.296,BREAKDOWN,15,
7,10:07:19,106,INT-506,14.296,REPAIRED,15,
7,10:22:50,106,INT-506,20.075,CHECKPOINT,,2409.9
7,10:32:49,105,INT-505,38,ARRIVAL,,2393.28
7,10:49:09,106,INT-506,31.346,BREAKDOWN,30,
7,10:49:09,106,INT-506,31.346,REPAIRED,30,
7,11:12:58,106,INT-506,38,ARRIVAL,,2409.9
8,05:59:58,101,INT-501,0,DEPARTURE,,
8,06:39:51,102,INT-502,0,DEPARTURE,,
8,07:02:51,101,INT-501,20.075,CHECKPOINT,,
8,07:19:44,103,INT-503,0,DEPARTURE,,
8,07:42:44,102,INT-502,20.075,CHECKPOINT,,2393.28
8,07:52:59,101,INT-501,38,ARRIVAL,,
8,07:59:54,104,INT-504,0,DEPARTURE,,
8,08:22:37,103,INT-503,20.075,CHECKPOINT,,2393.28
8,08:32:52,102,INT-502,38,ARRIVAL,,2393.28
8,08:39:48,105,INT-505,0,DEPARTURE,,
8,08:43:07,103,INT-503,28.124,BREAKDOWN,30,
8,08:43:57,103,INT-503,28.124,REPAIRED,30,
8,09:02:47,104,INT-504,20.075,CHECKPOINT,,2409.9
8,09:13:35,103,INT-503,38,ARRIVAL,,2443.14
8,09:19:57,106,INT-506,0,DEPARTURE,,
8,09:42:40,105,INT-505,20.075,CHECKPOINT,,2393.28
8,09:52:39,104,INT-504,38,BREAKDOWN,30,
8,10:14:48,104,INT-504,38,REPAIRED,30,
8,10:15:05,104,INT-504,38,ARRIVAL,,3689.64
8,10:22:50,106,INT-506,20.075,CHECKPOINT,,2409.9
8,10:32:49,105,INT-505,38,ARRIVAL,,1063.68
8,10:42:47,106,INT-506,27.874,BREAKDOWN,30,
8,10:43:53,106,INT-506,27.874,REPAIRED,30,
8,11:09:39,106,INT-506,36.822,BREAKDOWN,30,
8,11:29:19,106,INT-506,36.822,REPAIRED,30,
8,11:33:45,106,INT-506,38,ARRIVAL,,3656.4
9,05:59:58,101,INT-501,0,DEPARTURE,,
9,06:39:51,102,INT-502,0,DEPARTURE,,
9,07:02:51,101,INT-501,20.075,CHECKPOINT,,
9,07:19:44,103,INT-503,0,DEPARTURE,,
9,07:27:46,101,INT-501,31.033,BREAKDOWN,30,
9,07:27:46,101,INT-501,31.033,REPAIRED,30,
9,07:42:44,102,INT-502,20.075,CHECKPOINT,,2393.28
9,07:52:59,101,INT-501,38,ARRIVAL,,
9,07:59:54,104,INT-504,0,DEPARTURE,,
9,08:22:37,103,INT-503,20.075,CHECKPOINT,,2393.28
9,08:32:52,103,INT-503,24.181,BREAKDOWN,30,
9,08:32:52,102,INT-502,38,ARRIVAL,,2393.28
9,08:39:48,105,INT-505,0,DEPARTURE,,
9,08:42:01,103,INT-503,24.181,REPAIRED,30,
9,09:02:47,103,INT-503,32.426,BREAKDOWN,30,
9,09:02:47,104,INT-504,20.075,CHECKPOINT,,2409.9
9,09:02:47,103,INT-503,32.426,REPAIRED,30,
9,09:09:59,103,INT-503,34.569,BREAKDOWN,30,
9,09:19:57,106,INT-506,0,DEPARTURE,,
9,09:21:04,103,INT-503,34.569,REPAIRED,30,
9,09:32:59,103,INT-503,38,ARRIVAL,,3606.54
9,09:42:40,105,INT-505,20.075,CHECKPOINT,,2393.28
9,09:43:30,106,INT-506,7.168,BREAKDOWN,0,
9,09:52:55,104,INT-504,38,ARRIVAL,,1196.64
9,10:02:04,106,INT-506,7.168,REPAIRED,0,
9,10:32:49,105,INT-505,38,ARRIVAL,,2393.28
9,10:33:55,106,INT-506,17.535,BREAKDOWN,15,
9,10:36:25,106,INT-506,17.535,REPAIRED,15,
9,10:43:53,106,INT-506,20.075,CHECKPOINT,,3673.02
9,10:56:54,106,INT-506,25.357,BREAKDOWN,30,
9,11:03:33,106,INT-506,25.357,REPAIRED,30,
9,11:40:40,106,INT-506,38,ARRIVAL,,4071.9
10,05:59:58,101,INT-501,0,DEPARTURE,,
10,06:39:51,102,INT-502,0,DEPARTURE,,
10,07:02:51,101,INT-501,20.075,CHECKPOINT,,
10,07:08:56,102,INT-502,8.527,BREAKDOWN,15,
10,07:19:44,103,INT-503,0,DEPARTURE,,
10,07:23:20,102,INT-502,8.527,REPAIRED,15,
10,07:52:59,101,INT-501,38,ARRIVAL,,
10,07:57:08,102,INT-502,20.075,CHECKPOINT,,3257.52
10,07:59:54,104,INT-504,0,DEPARTURE,,
10,08:22:37,103,INT-503,20.075,CHECKPOINT,,1529.04
10,08:39:48,105,INT-505,0,DEPARTURE,,
10,08:47:16,102,INT-502,38,ARRIVAL,,3257.52
10,09:02:47,104,INT-504,20.075,CHECKPOINT,,2409.9
10,09:12:45,103,INT-503,38,ARRIVAL,,1529.04
10,09:19:57,106,INT-506,0,DEPARTURE,,
10,09:42:40,105,INT-505,20.075,CHECKPOINT,,2393.28
10,09:52:55,104,INT-504,38,ARRIVAL,,2409.9
10,10:22:50,106,INT-506,20.075,CHECKPOINT,,2409.9
10,10:32:49,105,INT-505,38,ARRIVAL,,2393.28
10,11:12:58,106,INT-506,38,ARRIVAL,,2409.9
11,05:59:58,101,INT-501,0,DEPARTURE,,
11,06:39:51,102,INT-502,0,DEPARTURE,,
11,07:02:51,101,INT-501,20.075,CHECKPOINT,,
11,07:19:44,103,INT-503,0,DEPARTURE,,
11,07:29:26,101,INT-501,31.445,BREAKDOWN,30,
11,07:29:26,101,INT-501,31.445,REPAIRED,30,
11,07:42:44,102,INT-502,20.075,CHECKPOINT,,2393.28
11,07:46:53,103,INT-503,7.99,BREAKDOWN,15,
11,07:52:59,101,INT-501,38,ARRIVAL,,
11,07:59:54,104,INT-504,0,DEPARTURE,,
11,08:03:30,103,INT-503,7.99,REPAIRED,15,
11,08:32:52,102,INT-502,38,ARRIVAL,,2393.28
11,08:39:14,103,INT-503,20.075,CHECKPOINT,,3390.48
11,08:39:48,105,INT-505,0,DEPARTURE,,
11,09:02:47,104,INT-504,20.075,CHECKPOINT,,1412.7
11,09:13:02,103,INT-503,33.082,BREAKDOWN,30,
11,09:17:11,103,INT-503,33.082,REPAIRED,30,
11,09:19:57,106,INT-506,0,DEPARTURE,,
11,09:33:32,103,INT-503,38,ARRIVAL,,3639.78
11,09:42:40,105,INT-505,20.075,CHECKPOINT,,2393.28
11,09:52:55,104,INT-504,38,ARRIVAL,,1163.4
11,10:12:19,106,INT-506,16.431,BREAKDOWN,15,
11,10:12:19,106,INT-506,16.431,REPAIRED,15,
11,10:22:50,106,INT-506,20.075,CHECKPOINT,,2409.9
11,10:32:49,105,INT-505,38,ARRIVAL,,2393.28
11,11:12:58,106,INT-506,38,ARRIVAL,,2409.9
12,05:59:58,101,INT-501,0,DEPARTURE,,
12,06:39:51,102,INT-502,0,DEPARTURE,,
12,07:02:51,101,INT-501,20.075,CHECKPOINT,,
