run_id,timestamp,trip_id,bus_id,distance_km,event,aux_km,headway_sec
5,06:39:51,102,INT-502,0,DEPARTURE,,
5,06:53:59,101,INT-501,17.187,BREAKDOWN,0,
5,07:19:44,103,INT-503,0,DEPARTURE,,
5,07:42:44,102,INT-502,20.075,CHECKPOINT,,
5,07:44:57,101,INT-501,17.187,REPAIRED,0,
5,07:53:49,101,INT-501,20.075,CHECKPOINT,,664.8
5,07:59:54,104,INT-504,0,DEPARTURE,,
5,08:06:50,101,INT-501,25.357,BREAKDOWN,0,
5,08:22:37,103,INT-503,20.075,CHECKPOINT,,1728.48
5,08:32:52,102,INT-502,38,ARRIVAL,,
5,08:39:48,105,INT-505,0,DEPARTURE,,
5,09:02:47,104,INT-504,20.075,CHECKPOINT,,2409.9
5,09:12:45,103,INT-503,38,ARRIVAL,,2393.28
5,09:19:57,106,INT-506,0,DEPARTURE,,
5,09:19:57,101,INT-501,25.357,REPAIRED,0,
5,09:25:30,104,INT-504,30.116,BREAKDOWN,0,
5,09:39:54,105,INT-505,19.082,BREAKDOWN,0,
5,09:57:05,101,INT-501,38,ARRIVAL,,2659.2
5,10:22:50,106,INT-506,20.075,CHECKPOINT,,4803.18
5,10:35:51,105,INT-505,19.082,REPAIRED,0,
5,10:38:38,105,INT-505,20.075,CHECKPOINT,,947.34
5,10:44:10,105,INT-505,22.458,BREAKDOWN,0,
5,10:49:59,104,INT-504,30.116,REPAIRED,0,
5,11:03:50,104,INT-504,33.928,BREAKDOWN,0,
5,11:12:58,106,INT-506,38,ARRIVAL,,4553.88
5,11:49:49,105,INT-505,22.458,REPAIRED,0,
5,12:34:25,105,INT-505,38,ARRIVAL,,4886.28
5,12:37:44,104,INT-504,33.928,REPAIRED,0,
5,12:51:19,104,INT-504,38,ARRIVAL,,1013.82
6,05:59:58,101,INT-501,0,DEPARTURE,,
6,06:39:51,102,INT-502,0,DEPARTURE,,
6,07:02:51,101,INT-501,20.075,CHECKPOINT,,
6,07:19:44,103,INT-503,0,DEPARTURE,,
6,07:42:44,102,INT-502,20.075,CHECKPOINT,,2393.28
6,07:52:59,101,INT-501,38,ARRIVAL,,
6,07:59:54,104,INT-504,0,DEPARTURE,,
6,08:22:37,103,INT-503,20.075,CHECKPOINT,,2393.28
6,08:32:52,102,INT-502,38,ARRIVAL,,2393.28
6,08:39:48,105,INT-505,0,DEPARTURE,,
6,09:02:47,104,INT-504,20.075,CHECKPOINT,,2409.9
6,09:12:45,103,INT-503,38,ARRIVAL,,2393.28
6,09:19:57,106,INT-506,0,DEPARTURE,,
6,09:42:40,105,INT-505,20.075,CHECKPOINT,,2393.28
6,09:52:55,104,INT-504,38,ARRIVAL,,2409.9
6,10:22:50,106,INT-506,20.075,CHECKPOINT,,2409.9
6,10:32:49,105,INT-505,38,ARRIVAL,,2393.28
6,11:12:58,106,INT-506,38,ARRIVAL,,2409.9
7,05:59:58,101,INT-501,0,DEPARTURE,,
7,06:31:33,101,INT-501,9.051,BREAKDOWN,0,
7,06:39:51,102,INT-502,0,DEPARTURE,,
7,06:57:18,101,INT-501,9.051,REPAIRED,0,
7,07:19:44,103,INT-503,0,DEPARTURE,,
7,07:28:36,101,INT-501,20.075,CHECKPOINT,,
7,07:42:44,102,INT-502,20.075,CHECKPOINT,,847.62
7,07:43:50,103,INT-503,7.388,BREAKDOWN,0,
7,07:59:54,104,INT-504,0,DEPARTURE,,
7,08:03:14,103,INT-503,7.388,REPAIRED,0,
7,08:18:44,101,INT-501,38,ARRIVAL,,
7,08:29:16,104,INT-504,8.531,BREAKDOWN,0,
7,08:32:52,102,INT-502,38,ARRIVAL,,847.62
7,08:39:48,105,INT-505,0,DEPARTURE,,
7,08:42:01,103,INT-503,20.075,CHECKPOINT,,3556.68
7,08:53:05,104,INT-504,8.531,REPAIRED,0,
7,09:19:57,106,INT-506,0,DEPARTURE,,
7,09:26:36,104,INT-504,20.075,CHECKPOINT,,2675.82
7,09:32:09,103,INT-503,38,ARRIVAL,,3556.68
7,09:42:40,105,INT-505,20.075,CHECKPOINT,,963.96
7,10:16:45,104,INT-504,38,ARRIVAL,,2675.82
7,10:22:50,106,INT-506,20.075,CHECKPOINT,,2409.9
7,10:32:49,105,INT-505,38,ARRIVAL,,963.96
7,10:39:11,106,INT-506,26.906,BREAKDOWN,0,
7,11:55:38,106,INT-506,26.906,REPAIRED,0,
7,12:27:29,106,INT-506,37.665,BREAKDOWN,0,
7,14:14:58,106,INT-506,37.665,REPAIRED,0,
7,14:16:54,106,INT-506,38,ARRIVAL,,13445.58
8,05:59:58,101,INT-501,0,DEPARTURE,,
8,06:39:51,102,INT-502,0,DEPARTURE,,
